FID,FID_1,STATION,BASIN,LONGITUDE,LATITUDE,STATION_ID,SITE,STATION__1,CRMS_SITE,PROJ_ID,BASIN_1,FLD_OFFICE,PROJ_TYPE,STATUS,DATA_TYPE,FREQUENCY,SENSOR_ENV,METHOD,Measures,FID_2,OBJECTID,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,Shape_Area,LWI_Region,Long,Lat
1923,13228,A03,Teche/Vermilion,-91° 49' 23.106"",29° 29' 52.222"",CRMS0522-A03,CRMS0522,CRMS0522-A03,CRMS0522,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.823085123599995,29.497839552100000
1924,13229,A07,Teche/Vermilion,-91° 49' 23.183"",29° 29' 52.061"",CRMS0522-A07,CRMS0522,CRMS0522-A07,CRMS0522,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.823106274500006,29.497794617699999
1925,13230,A11,Teche/Vermilion,-91° 49' 23.181"",29° 29' 52.191"",CRMS0522-A11,CRMS0522,CRMS0522-A11,CRMS0522,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.823105857100003,29.497830711199999
1926,13231,A03,Teche/Vermilion,-91° 49' 19.442"",29° 34' 42.821"",CRMS0523-A03,CRMS0523,CRMS0523-A03,CRMS0523,"LA-0030,TV-0014",Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.822067221799998,29.578561517899999
1927,13232,A07,Teche/Vermilion,-91° 49' 19.444"",29° 34' 42.692"",CRMS0523-A07,CRMS0523,CRMS0523-A07,CRMS0523,"LA-0030,TV-0014",Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.822067640900002,29.578525424799999
1928,13233,A11,Teche/Vermilion,-91° 49' 19.517"",29° 34' 42.757"",CRMS0523-A11,CRMS0523,CRMS0523-A11,CRMS0523,"LA-0030,TV-0014",Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.822088076900002,29.578543654499999
1929,13234,A03,Teche/Vermilion,-91° 49' 22.927"",29° 32' 54.605"",CRMS0524-A03,CRMS0524,CRMS0524-A03,CRMS0524,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.823035241499994,29.548501392300000
1930,13235,A07,Teche/Vermilion,-91° 49' 23.113"",29° 32' 54.607"",CRMS0524-A07,CRMS0524,CRMS0524-A07,CRMS0524,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.823086840100004,29.548501849400001
1931,13236,A11,Teche/Vermilion,-91° 49' 22.965"",29° 32' 54.540"",CRMS0524-A11,CRMS0524,CRMS0524-A11,CRMS0524,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.823045770299998,29.548483437100000
1932,13237,A03,Teche/Vermilion,-91° 54' 59.821"",29° 35' 58.330"",CRMS0529-A03,CRMS0529,CRMS0529-A03,CRMS0529,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.916616834199999,29.599536083299999
1933,13238,A07,Teche/Vermilion,-91° 54' 59.934"",29° 35' 58.168"",CRMS0529-A07,CRMS0529,CRMS0529-A07,CRMS0529,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.916648292100007,29.599491218400001
1934,13239,A11,Teche/Vermilion,-91° 54' 59.747"",29° 35' 58.264"",CRMS0529-A11,CRMS0529,CRMS0529-A11,CRMS0529,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.916596376599998,29.599517867599999
1935,13240,A03,Teche/Vermilion,-92° 0' 37.796"",29° 34' 39.781"",CRMS0530-A03,CRMS0530,CRMS0530-A03,CRMS0530,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-92.010499001800000,29.577717080100001
1936,13241,A07,Teche/Vermilion,-92° 0' 37.723"",29° 34' 39.651"",CRMS0530-A07,CRMS0530,CRMS0530-A07,CRMS0530,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-92.010478707199994,29.577680830900000
1937,13242,A11,Teche/Vermilion,-92° 0' 37.723"",29° 34' 39.716"",CRMS0530-A11,CRMS0530,CRMS0530-A11,CRMS0530,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-92.010478531100006,29.577698878600000
1938,13243,A04,Teche/Vermilion,-92° 2' 24.319"",29° 37' 4.811"",CRMS0541-A04,CRMS0541,CRMS0541-A04,CRMS0541,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-92.040088495199996,29.618003101100001
1939,13244,A12,Teche/Vermilion,-92° 2' 24.169"",29° 37' 4.875"",CRMS0541-A12,CRMS0541,CRMS0541-A12,CRMS0541,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-92.040047014099997,29.618020850000001
1940,13295,H02,Teche/Vermilion,-91° 51' 32.710"",29° 42' 41.837"",CRMS0527-H02,CRMS0527,CRMS0527-H02,CRMS0527,"LA-0030,TV-0002-A",Teche/Vermilion,Lafayette,CRMS,Active,Hydrography,Hourly,Surface Water, ,"Salinity, Specific Conductance, Water Level, Water Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.859086101299994,29.711621379600000
1941,13297,A02,Teche/Vermilion,-91° 44' 13.121"",29° 33' 4.462"",TV21CR02-A02,TV21CR02,TV21CR02-A02,9999,"TV-0007,TV-0014,TV-0021,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.736978151100004,29.551239551500000
1942,13298,A06,Teche/Vermilion,-91° 44' 13.119"",29° 33' 4.657"",TV21CR02-A06,TV21CR02,TV21CR02-A06,9999,"TV-0007,TV-0014,TV-0021,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.736977477799996,29.551293689600001
1943,13299,A10,Teche/Vermilion,-91° 44' 13.082"",29° 33' 4.624"",TV21CR02-A10,TV21CR02,TV21CR02-A10,9999,"TV-0007,TV-0014,TV-0021,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Sediment Elevation,6 Months, ,DGPS,Accretion,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.736967270400001,29.551284568500002
1944,14176,Y1MI001,Teche/Vermilion,-91° 54' 37.946"",29° 37' 57.412"",LA39-Y1MI001,LA39,LA39-Y1MI001,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.910540434500007,29.632614527800001
1945,14177,Y1MI002,Teche/Vermilion,-91° 54' 40.068"",29° 38' 1.716"",LA39-Y1MI002,LA39,LA39-Y1MI002,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.911130002500002,29.633809996099998
1946,14178,Y1MI003,Teche/Vermilion,-91° 54' 45.828"",29° 37' 57.542"",LA39-Y1MI003,LA39,LA39-Y1MI003,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.912729905199996,29.632650543899999
1947,14179,Y1MI004,Teche/Vermilion,-91° 53' 28.375"",29° 37' 40.007"",LA39-Y1MI004,LA39,LA39-Y1MI004,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.891215250399995,29.627779812299998
1948,14180,Y1MI005,Teche/Vermilion,-91° 53' 14.918"",29° 37' 39.667"",LA39-Y1MI005,LA39,LA39-Y1MI005,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.887477196399999,29.627685341700001
1949,14181,Y1MI006,Teche/Vermilion,-91° 51' 51.992"",29° 37' 36.788"",LA39-Y1MI006,LA39,LA39-Y1MI006,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.864442280299997,29.626885510699999
1950,14182,Y1MI007,Teche/Vermilion,-91° 50' 57.532"",29° 37' 28.976"",LA39-Y1MI007,LA39,LA39-Y1MI007,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.849314541599995,29.624715670200001
1951,14183,Y1MI008,Teche/Vermilion,-91° 50' 53.502"",29° 37' 33.490"",LA39-Y1MI008,LA39,LA39-Y1MI008,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.848195120900002,29.625969340299999
1952,14184,Y1MI009,Teche/Vermilion,-91° 50' 55.140"",29° 30' 53.964"",LA39-Y1MI009,LA39,LA39-Y1MI009,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.848649996899994,29.514990001400001
1953,14185,Y1MI010,Teche/Vermilion,-91° 51' 1.944"",29° 30' 43.092"",LA39-Y1MI010,LA39,LA39-Y1MI010,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.850540003999996,29.511970001400002
1954,14186,Y1MI011,Teche/Vermilion,-91° 50' 45.600"",29° 31' 5.592"",LA39-Y1MI011,LA39,LA39-Y1MI011,9999,"LA-0039,TV-0054",Teche/Vermilion,Lafayette,CWPPRA,Active,Vegetation,Variable, ,GPS,Plantings,3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.845999995200003,29.518219995700001
1955,15096,P01,Teche/Vermilion,-91° 45' 30.236"",29° 45' 19.219"",CRMS0493-P01,CRMS0493,CRMS0493-P01,CRMS0493,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Hydrography,Monthly, , ,"Soil Porewater Salinity, Soil Porewater Specific Conductance, Soil Porewater Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.758398952199997,29.755338653900001
1956,15097,P02,Teche/Vermilion,-91° 45' 30.236"",29° 45' 19.219"",CRMS0493-P02,CRMS0493,CRMS0493-P02,CRMS0493,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Hydrography,Monthly, , ,"Soil Porewater Salinity, Soil Porewater Specific Conductance, Soil Porewater Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.758398952199997,29.755338653900001
1957,15098,P03,Teche/Vermilion,-91° 45' 30.236"",29° 45' 19.219"",CRMS0493-P03,CRMS0493,CRMS0493-P03,CRMS0493,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Hydrography,Monthly, , ,"Soil Porewater Salinity, Soil Porewater Specific Conductance, Soil Porewater Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.758398952199997,29.755338653900001
1958,15099,S01,Teche/Vermilion,-91° 45' 29.900"",29° 45' 19.346"",CRMS0493-S01,CRMS0493,CRMS0493-S01,CRMS0493,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Soil Properties,Once, , ,"Soil Bulk Density, Soil Percent Moisture Content, Soil Percent Organic Matter, Soil Salinity, Soil Specific Conductance, Soil pH, Volume",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.758305441800005,29.755373871700002
1959,15100,S02,Teche/Vermilion,-91° 45' 29.823"",29° 45' 19.540"",CRMS0493-S02,CRMS0493,CRMS0493-S02,CRMS0493,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Soil Properties,Once, , ,"Soil Bulk Density, Soil Percent Moisture Content, Soil Percent Organic Matter, Soil Salinity, Soil Specific Conductance, Soil pH, Volume",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.758284093200004,29.755427814499999
1960,15101,S03,Teche/Vermilion,-91° 45' 29.790"",29° 45' 19.150"",CRMS0493-S03,CRMS0493,CRMS0493-S03,CRMS0493,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Soil Properties,Once, , ,"Soil Bulk Density, Soil Percent Moisture Content, Soil Percent Organic Matter, Soil Salinity, Soil Specific Conductance, Soil pH, Volume",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.758275087399994,29.755319443600001
1961,15102,P01,Teche/Vermilion,-91° 47' 34.156"",29° 44' 34.366"",CRMS0494-P01,CRMS0494,CRMS0494-P01,CRMS0494,LA-0030,Teche/Vermilion,Lafayette,CRMS,Inactive,Hydrography,Monthly, , ,"Soil Porewater Salinity, Soil Porewater Specific Conductance, Soil Porewater Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.792821083500002,29.742879366299999
1962,15103,P02,Teche/Vermilion,-91° 47' 34.156"",29° 44' 34.366"",CRMS0494-P02,CRMS0494,CRMS0494-P02,CRMS0494,LA-0030,Teche/Vermilion,Lafayette,CRMS,Inactive,Hydrography,Monthly, , ,"Soil Porewater Salinity, Soil Porewater Specific Conductance, Soil Porewater Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.792821083500002,29.742879366299999
1963,15104,P03,Teche/Vermilion,-91° 47' 34.156"",29° 44' 34.366"",CRMS0494-P03,CRMS0494,CRMS0494-P03,CRMS0494,LA-0030,Teche/Vermilion,Lafayette,CRMS,Inactive,Hydrography,Monthly, , ,"Soil Porewater Salinity, Soil Porewater Specific Conductance, Soil Porewater Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.792821083500002,29.742879366299999
1964,15105,S01,Teche/Vermilion,-91° 47' 33.711"",29° 44' 34.232"",CRMS0494-S01,CRMS0494,CRMS0494-S01,CRMS0494,LA-0030,Teche/Vermilion,Lafayette,CRMS,Inactive,Soil Properties,Once, , ,"Soil Bulk Density, Soil Percent Moisture Content, Soil Percent Organic Matter, Soil Salinity, Soil Specific Conductance, Soil pH, Volume",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.792697442500000,29.742842142499999
1965,15106,S02,Teche/Vermilion,-91° 47' 33.821"",29° 44' 34.363"",CRMS0494-S02,CRMS0494,CRMS0494-S02,CRMS0494,LA-0030,Teche/Vermilion,Lafayette,CRMS,Inactive,Soil Properties,Once, , ,"Soil Bulk Density, Soil Percent Moisture Content, Soil Percent Organic Matter, Soil Salinity, Soil Specific Conductance, Soil pH, Volume",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.792728028400006,29.742878517299999
1966,15107,S03,Teche/Vermilion,-91° 47' 33.639"",29° 44' 34.036"",CRMS0494-S03,CRMS0494,CRMS0494-S03,CRMS0494,LA-0030,Teche/Vermilion,Lafayette,CRMS,Inactive,Soil Properties,Once, , ,"Soil Bulk Density, Soil Percent Moisture Content, Soil Percent Organic Matter, Soil Salinity, Soil Specific Conductance, Soil pH, Volume",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.792677412200007,29.742787816100002
1967,15114,P01,Teche/Vermilion,-91° 51' 0.444"",29° 30' 1.781"",CRMS0498-P01,CRMS0498,CRMS0498-P01,CRMS0498,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Hydrography,Monthly, , ,"Soil Porewater Salinity, Soil Porewater Specific Conductance, Soil Porewater Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.850123437400001,29.500494601300002
1968,15115,P02,Teche/Vermilion,-91° 51' 0.444"",29° 30' 1.781"",CRMS0498-P02,CRMS0498,CRMS0498-P02,CRMS0498,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Hydrography,Monthly, , ,"Soil Porewater Salinity, Soil Porewater Specific Conductance, Soil Porewater Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.850123437400001,29.500494601300002
1969,15116,P03,Teche/Vermilion,-91° 51' 0.444"",29° 30' 1.781"",CRMS0498-P03,CRMS0498,CRMS0498-P03,CRMS0498,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Hydrography,Monthly, , ,"Soil Porewater Salinity, Soil Porewater Specific Conductance, Soil Porewater Temperature",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.850123437400001,29.500494601300002
1970,15117,S01,Teche/Vermilion,-91° 51' 0.819"",29° 30' 1.524"",CRMS0498-S01,CRMS0498,CRMS0498-S01,CRMS0498,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Soil Properties,Once, , ,"Soil Bulk Density, Soil Percent Moisture Content, Soil Percent Organic Matter, Soil Salinity, Soil Specific Conductance, Soil pH, Volume",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.850227402499996,29.500423305399998
1971,15118,S02,Teche/Vermilion,-91° 51' 0.559"",29° 30' 1.522"",CRMS0498-S02,CRMS0498,CRMS0498-S02,CRMS0498,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Soil Properties,Once, , ,"Soil Bulk Density, Soil Percent Moisture Content, Soil Percent Organic Matter, Soil Salinity, Soil Specific Conductance, Soil pH, Volume",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.850155197899994,29.500422681100002
1972,15119,S03,Teche/Vermilion,-91° 51' 0.411"",29° 30' 1.455"",CRMS0498-S03,CRMS0498,CRMS0498-S03,CRMS0498,LA-0030,Teche/Vermilion,Lafayette,CRMS, ,Soil Properties,Once, , ,"Soil Bulk Density, Soil Percent Moisture Content, Soil Percent Organic Matter, Soil Salinity, Soil Specific Conductance, Soil pH, Volume",3,2048,{D464005C-5979-44DC-95A4-E2EC9AFA0A9A}, , , , ,6/6/2016 0:00:00,0,1289163.350000000093132,5217.060000000000400,LA,08080103,Vermilion,4.468561831540000,0.487019357573000,5,-91.850114141999995,29.500404277400001
